"['D', 'N']","(7107, 2304)",rbf,3,0.92,1.0,2.617,AdvMLData/all_images
"['D', 'N']","(14214, 2304)",rbf,3,0.915,1.0,19.288,perturbed_images/all_images
"['D', 'H']","(19854, 48)",rbfPCA,3,0.935,0.934,2.244,perturbed_images/all_images,pca
"['D', 'S']","(9666, 48)",rbfPCA,3,0.87,0.863,1.072,perturbed_images/all_images,pca
"['S', 'D']","(131, 48)",rbfPCA,3,0.818,0.885,0.006,AdvMLData/subset_1000,pca
"['S', 'D']","(131, 48)",rbfPCA,3,0.909,0.839,0.003,AdvMLData/subset_1000,pca
"['S', 'D']","(131, 48)",rbfPCA,3,0.932,0.828,0.003,AdvMLData/subset_1000,pca
"['D', 'N']","(14214, 48)",rbfPCA,3,0.907,0.909,1.556,perturbed_images/all_images,pca
"['D', 'U']","(13986, 48)",rbfPCA,3,0.91,0.905,1.648,perturbed_images/all_images,pca
"['D', 'A']","(11778, 48)",rbfPCA,3,0.891,0.889,1.332,perturbed_images/all_images,pca
"['D', 'F']","(11856, 48)",rbfPCA,3,0.888,0.891,1.308,perturbed_images/all_images,pca
"['H', 'U']","(31236, 48)",rbfPCA,3,0.599,0.591,16.012,perturbed_images/all_images,pca
"['H', 'DU']","(32538, 48)",rbfPCA,3,0.574,0.568,18.594,perturbed_images/all_images,pca
"['D', 'F']","(11856, 48)",rbf,3,0.888,0.891,1.21,perturbed_images/all_images,pca
"['D', 'A']","(11778, 48)",rbf,3,0.888,0.89,1.211,perturbed_images/all_images,pca
"['D', 'U']","(13986, 48)",rbf,3,0.906,0.907,1.525,perturbed_images/all_images,pca
"['H', 'A']","(29028, 48)",rbfPCA,3,0.635,0.641,14.31,perturbed_images/all_images,pca
"['H', 'S']","(26916, 48)",rbf,3,0.687,0.691,11.551,perturbed_images/all_images,pca
"['H', 'S']","(26916, 2304)",rbf,3,0.739,1.0,69.009,perturbed_images/all_images
"['H', 'U']","(31236, 2304)",rbf,3,0.598,1.0,94.925,perturbed_images/all_images
"['H', 'F']","(29106, 2304)",rbf,3,0.651,1.0,87.087,perturbed_images/all_images
"['H', 'F']","(29106, 48)",rbf,3,0.637,0.638,15.177,perturbed_images/all_images,pca
"['H', 'N']","(31464, 48)",rbf,3,0.584,0.592,17.043,perturbed_images/all_images,pca
"['H', 'N']","(31464, 2304)",rbf,3,0.598,1.0,122.737,perturbed_images/all_images
"['H', 'A']","(29028, 2304)",rbf,3,0.661,0.999,78.326,perturbed_images/all_images
